Date,Open,High,Low,Close,Volume
2021-12-23,476.6783633883649,480.3890782889076,476.3004943958554,480.166259765625,236000
2021-12-27,484.39036987009655,497.48932296814775,483.8090489976796,495.17376708984375,194500
2021-12-28,497.65413139231714,497.65413139231714,482.0554759669723,482.5689697265625,157800
2021-12-29,483.2859428605246,487.4617201013073,480.776603211385,482.801513671875,147600
2021-12-30,485.4885027029477,485.8959268155666,475.7591391102954,476.7679748535156,175100
2021-12-31,477.10740990228754,483.1021649336345,475.9045572401999,478.54302978515625,166300
2022-01-03,477.0492996587423,482.10312899990106,471.4328384184143,480.017578125,300800
2022-01-04,484.2856005486641,489.0581426769722,460.9467715714724,476.525390625,328400
2022-01-05,472.82967133073225,474.1877023717306,446.6098588925413,446.7262573242188,473700
2022-01-06,446.6291713641317,454.6222076541449,435.93949293329166,451.6539001464844,387700
2022-01-07,450.5286894841339,455.72801581124185,430.8759488043166,431.3609619140625,411200
2022-01-10,424.8715229143327,436.7931545287416,413.40580484880894,435.8619079589844,441300
2022-01-11,438.8787158079669,441.080664923524,424.8521433427686,438.9466247558594,448100
2022-01-12,444.2333176295634,449.8303893541269,431.6326831517412,435.45458984375,359600
2022-01-13,439.6450393975053,442.0797853292521,420.0407861684293,420.6130981445313,309600
2022-01-14,415.21968139583686,426.8115057219241,414.4145727171149,425.0460510253906,462500
2022-01-18,415.8406680464978,417.9844183505006,403.4340206617884,403.87054443359375,363700
2022-01-19,407.7117924158215,415.1228082957456,398.8748661515357,401.5618286132813,547200
2022-01-20,406.59623206720426,412.3096716454556,391.9391191146509,392.04583740234375,454800
2022-01-21,387.48673049752784,406.9454573639004,384.421443576225,385.517578125,610500
2022-01-24,379.55186779176313,390.36765449816335,361.7227806800855,389.9699401855469,752600
2022-01-25,378.0870812001776,383.39312541597405,361.30564067420414,363.6336975097656,583900
2022-01-26,374.284610475412,382.9178376260824,359.50139124370963,366.8735961914063,742000
2022-01-27,372.6840899165184,375.7881560950502,348.88934764621024,350.2958679199219,495000
2022-01-28,351.974021634296,359.92821891696326,340.6829021668104,359.7730407714844,623100
2022-01-31,364.5455830166895,392.0652245306523,364.5455830166895,390.8526916503906,538000
2022-02-01,394.373868384112,397.0899300330012,379.6391673324717,394.1604614257813,385800
2022-02-02,398.6808052016973,404.20025716018745,396.4788561803598,402.0758972167969,498600
2022-02-03,386.7882521747216,398.03085270648455,379.94957904666967,381.3755187988281,502500
2022-02-04,378.9504522031528,392.04580636479193,375.3322436925771,388.12689208984375,289700
2022-02-07,389.10661279558735,398.1860437821245,380.9389791988031,385.0519104003906,317200
2022-02-08,385.1974342503478,394.6842899009485,381.2106109232575,393.4426574707031,420900
2022-02-09,398.6323127969655,411.87316563791575,395.6349055323085,410.1368103027344,363800
2022-02-10,398.7583789159288,413.6482878147447,392.70542457227776,395.0820007324219,534900
2022-02-11,427.4711953802222,453.17689308796935,407.9154610434199,411.5724792480469,1541200
2022-02-14,408.0803506793452,426.006446664736,398.5546856783114,420.331787109375,747200
2022-02-15,428.4314877705203,467.989155298594,428.4314877705203,464.9044494628906,978300
2022-02-16,457.6390253203679,474.6338761334291,449.14158511241,472.9557495117188,507300
2022-02-17,461.8004426098399,476.0889115229224,446.745615003438,448.0357666015625,457000
2022-02-18,449.384048814716,452.7597508114833,435.1149710093807,443.6415100097656,525900
2022-02-22,438.0929585968816,450.7421091444759,431.0990776459624,436.6184997558594,284900
2022-02-23,441.5171582114032,445.74645851630055,416.2867655926029,418.4790344238281,438500
2022-02-24,403.18179016151504,441.9731367186419,400.0679840798556,441.4978332519531,549700
2022-02-25,439.6644298198217,448.86997012956726,431.6132231998392,447.6089477539063,351300
2022-02-28,443.7385170001215,446.7358945406665,433.0973279231361,444.9510498046875,394300
2022-03-01,441.5365325934349,446.8328971272069,419.21624915455766,423.5134582519531,553500
2022-03-02,428.0241261823921,445.4652105816508,428.0241261823921,439.85845947265625,375800
2022-03-03,441.97314040696375,441.97314040696375,416.8979516470653,417.1113586425781,511500
2022-03-04,413.1050860665774,415.0548483572847,395.1402100641257,401.3774719238281,453500
2022-03-07,404.0256298316806,407.0521068976286,369.9874133691631,370.0650024414063,696700
2022-03-08,373.59595448330407,394.6746076622958,362.39213262395447,382.6171875,492600
2022-03-09,395.9453173164495,410.14651617358544,391.6481080284015,405.6261901855469,433800
